username;tanggal;ulasan;label
Artemis Raya;01/05/2023 22:08;Setiap masuk selalu disuruh masuk kembali, terus untuk penarikan dana dipersulit;Negatif
Al falah Chanel 2;01/05/2023 17:29;aplikasi ini semakin membuat kita susah dari penarikan uang dll. Apalagi habis saya perbarui kemarin setiap masuk harus memasukkan email, dan otp terus payah!!!!!;Negatif
Nahya Aji;01/05/2023 15:00;Sering sesi masuk kadaluwarsa.. itu membuat saya tidak bisa masuk ke akun saya.. sangat mengecewakan;Negatif
Anto Bass;01/05/2023 05:31;ok dulu deh;Positif
Error Empat Kosong Empat Life Not Found;01/05/2023 00:39;penarikan gagal dan dipersulit, Akun ditangguhkan gk jelas saldo jutaan angus. Jauhkan tokocrypto klo gk mau kena apes deh.;Negatif
Yon Cliff;30/04/2023 09:22;Permainan uang...;Negatif
Nur Yaman;30/04/2023 02:23;Sangat puas;Positif
Geri Geri;29/04/2023 23:19;Aplikasi ribet;Negatif
campole enak;28/04/2023 20:56;gk usah diunduh lah, pake yang lain aja, aneh banget berulang kali gagal setoran kripto, prosesnya juga lama lagi mau membenarkannya, aplikasi sampah;Negatif
mawan official;28/04/2023 18:29;gimana ini pas mau masuk selalu gagal padahal kata sandi sama email gk slh tolong dibenarkan dong saya udh setoran;Negatif
Irel opeq;28/04/2023 10:16;Mantap pokoknya...;Positif
Herwan Mr;27/04/2023 21:41;Mantap, terbaik di indonesia;Positif
Fajar Sukma;27/04/2023 17:52;Tokocrypto ini tidak layak diedarkan karna merugikan konsumen masa iya kirim aset ke sesama bnb beb20 katanya salah kirim sudah tau alamatnya bnb beb20 ditambah lagi klo ingin selesai dan aset kripto bisa terisi harus diselesaikan dengan aturan kita harus bayar denda 7.5 jt sedangkan kita kirim aset gk sebanyak itu klo dirupiahkan sekitar 1.7 jt ini mah 7.5 jt biar selesai perkara berarti merampok yah Klo menurut saya udh sepantas buat surat aduan ke Kominfo biar tutup;Negatif
kerupuk;27/04/2023 10:31;Dapet maksimal cuan disini, orang pada sibuk cari kerja, saya sibuk cari cuan disini aja lah, dapet tambahan cuan dengan cukup tautin ini - - - 2VQHJ53Z - - - otomatis kalian sudah dapet saldo kupon jual beli senilai 21$ dari sini, yang bisa kalian gunakan untuk jual beli dan dari hasil keuntungan atau keuntungan yang kalian gunakan saat jual beli disini, sudah bisa kalian tarik atau buat modal lagi untuk jual beli dan investasi yg sangat maksimal disini.;Positif
maulana akhsan;26/04/2023 12:56;Tokocrypto sekarang ribet mau penarikan kode autentikasi benar di bilang salah, malah bikin susah pengguna yang mau penarikan,, tolong ke depannya diperbaiki sistemnya;Negatif
ipan Tubaan;26/04/2023 09:09;Kecewa dengan tokocrypto, saya tidak bisa masuk akun saya, email dan kata sandi tidak ada kesalahan, mungkin karena saldo saya sudah hilang, biarlah mungkin sudah saatnya saya tinggalkan tokocrypto, untuk yang baru mau gabung disini pikir pikir dulu jangan sampai seperti saya, terima kasih;Negatif
Nanang Suryana;25/04/2023 07:50;Sip banget;Positif
alek duank;24/04/2023 19:31;Aplikasi tambah ribet, dulu lebih sederhana dan luas sekarang malah terasa begitu sempit, bukannya tambah mudah malah pusing;Negatif
media photo;24/04/2023 17:17;Xmr lagi perbaikan terus gan;Positif
Akun Game;24/04/2023 16:51;Saya selesai pakai aplikasi ini terlalu ribet, mau ganti nomor hp, harus hubungi pelayan penggunanya lah, kode autentikasi hilang harus hubungi juga, mana disuruh swafoto pakai tulisan - tulisan lagi, ribet banget, gk bisa ya dipermudah dikit? aplikasi lain gk ada tuh persyaratan kyk gini, aman aja, tokocrypto doang yg ribet, dah lah uninstall..;Negatif
Roy Naldi Alfaro;23/04/2023 09:11;setorannya sulit masuk;Negatif
Potato Gaming;22/04/2023 22:14;Aplikasi bego... Padahal saldo ada giliran mau penarikan bilang saldo tidak mencukupi tolol;Negatif
arrive rahmadi;22/04/2023 21:14;JANGAN PAKAI APLIKASI INI BUAT jual beli KRIPTO, SAAT setoran SANGAT MUDAH, TP SAAT PENARIKAN HARUS VERIFIKASI SMS, VERIFIKASI EMAIL, GOOGLE AUTHENTICATOR, JIKA KATA SANDI 16 DIGIT KODE GOOGLE HILANG, GK AKAN BISA PENARIKAN !!!!;Negatif
Rizky Assegaf;22/04/2023 18:27;Keren;Positif
Asep Surasep;22/04/2023 11:59;aplikasi ampas mau verifikasi aja gagal terus, notif sms kelamaan;Negatif
Ana Mumtaz;22/04/2023 01:19;Sebaiknya jgn diunduh… susah penarikan.. komplainnya lama bgt penyelesaiannya… nyesel 5 jt ludes;Negatif
indah intan;21/04/2023 19:58;Kok gk bisa masuk sesi kadaluwarsa terus;Negatif
Raymon;21/04/2023 19:49;Biayanya terlalu besar , bitcoin cenderung bearish, tdk menguntungkan bagi investor, saya uninstall aja;Negatif
Arya;21/04/2023 17:17;Min saya sudah mengirim permintaan ganti nomer handphone mohon diterima min;Negatif
FAISAL ANDRIANTO;20/04/2023 15:18;Disuruh masukan kode autentikasi google sudah benar dimasukkan masa salah mlu tulisannya;Negatif
Meysi Palit;20/04/2023 04:44;Bertahun - tahun pake aplikasi ini, Tiba - tiba dinonaktifkan penarikan selama 2 hari hanya karena setoran secara beruntun 20 juta. Entah salahnya dimana!!! Semua bukti sudah saya kasih. Tetap gk bisa ditarik aset saya !!!;Negatif
wulansari 3821;19/04/2023 20:03;Ok cari uang recehan;Positif
Ukik Ruslandi;18/04/2023 19:41;Ok banget;Positif
Sukma Na;18/04/2023 18:42;Mantap bro;Positif
A Z;18/04/2023 15:35;SUSAH KALI VERIFIKASINYA ;Negatif
pandi purwanto;18/04/2023 11:52;ribet banget susah jual koinnya dan menarik uang, mohon diperbaiki;Negatif
Putra Putra;18/04/2023 11:13;Coba dulu siapa tau nyaman;Positif
Boom Stareve;17/04/2023 23:44;Menurut gw terlalu ribet dan bikin kapok dgn authenticator ... Pas setoran mudah, giliran penarikan susah benar salah terus authenticator;Negatif
Danil Oleng;17/04/2023 22:21;sangat efisien sekali aplikasinya terima kasih buat pengembang;Positif
Gambar Manga;17/04/2023 15:45;Bismillah untung;Positif
INITIAL - B;17/04/2023 13:02;Parah, seluruh isi dompet hilang setelah kyc ditolak, padahal sebelumnya kyc diterima, buat pengguna baru harus hati - hati jangan isi dompet kalian saat kyc masih dlm proses.;Negatif
King Fin;17/04/2023 06:16;Transaksi kena anti fraud dasar gk jelas;Negatif
Al Nah;16/04/2023 22:30;Hey sadis amat potongannya jangan begitulah;Negatif
AHM 2002;16/04/2023 04:58;Kebanyakan verifikasi keamanan, mulai email, nomor telepon, google authenticator, jadi kayak ribet aja, padahal sekelas binance aja gk ribet - ribet amat.;Negatif
Giery Bagas Maylando;15/04/2023 20:33;Jelek, banyak bug;Negatif
Ronaldus Bagas Prasetyo;15/04/2023 06:43;Saya pemula bisa belajar & memudahkan transaksi.. tingkatkan lagi;Positif
Varell Prabasha;14/04/2023 10:50;Halo min, utk aplikasinya udah bagus, lebih bagus lagi transaksinya tambahin BNI sama MANDIRI min, terima kasih;Positif
Ryan Jaya;14/04/2023 06:17;PENARIKAN SANGAT LAMA ...;Negatif
Mukhtar KH;14/04/2023 03:11;Awal2 saya kasih bintang 4 Sekarang maaf saya kasi bintang 3 karna 3 kali gagal masuk didompet tujuan. Dan harus ke fitur obrolan langsung baru kembali ke dompet. Ditarik ke rekening pun bikin was was;Negatif
Wahid Nugroho;14/04/2023 02:50;Penarikan ok, cuma hitungan menit masuk ke rekening saya (jam 2:40 wib) Pertama kali pake google autentikator agak keder (grogi + kuatir uang gk bisa ditarik / akun jadi bermasalah) ... Kekurangannya cuma pada perbarui saldo setelah transakasi jualnya, kadang gk sesuai. Satu lagi, variasi koin / token kurang banyak ;Positif
DARWANTO;13/04/2023 08:07;UID : 3105431... TOKOCRYPTO SANGAT BAGUS. TAMPILANNYA JUGA MUDAH DIPAHAMI ORANG AWAM;Positif
shandy 15;13/04/2023 04:20;Setelah diperbarui, gk bisa kirim aset, bug.;Negatif
